animal	day	gn_rs	nfl
116322.1	5	3	67
116322.2	5	3	58.8
116322.3	5	3	90.4
116322.4	5	3	109
116322.5	5	3	123
116323.1	5	3	58.8
116323.2	5	3	81.2
116323.3	5	3	115
116323.4	5	3	76.5
116323.5	5	3	81
116324.1	5	3	95.6
116324.2	5	3	89.7
116324.3	5	3	80
116324.4	5	3	118
116324.5	5	3	115
116325.1	5	3	137
116325.2	5	3	77.9
116325.3	5	3	178
116325.4	5	3	108
116325.5	5	3	179
116326.1	5	3	210
116326.2	5	3	707
116326.3	5	3	194
116326.4	5	3	197
116326.5	5	3	337
116327.1	5	3	181
116327.2	5	3	240
116327.3	5	3	307
116327.4	5	3	502
116327.5	5	3	517
116328.1	5	3	266
116328.2	5	3	186
116328.3	5	3	231
116328.4	5	3	335
116328.5	5	3	243
116329.1	5	3	216
116329.2	5	3	341
116329.3	5	3	192
116329.4	5	3	134
116330.1	10	3	105
116330.2	10	3	460
116330.3	10	3	94.3
116330.4	10	3	161
116330.5	10	3	71.7
116331.1	10	3	310
116331.2	10	3	88.8
116331.3	10	3	195
116331.4	10	3	126
116331.5	10	3	146
116332.1	10	3	175
116332.2	10	3	137
116332.3	10	3	88.5
116332.4	10	3	83.7
116332.5	10	3	85.3
116333.1	10	3	106
116333.2	10	3	156
116333.3	10	3	64.7
116333.4	10	3	75.1
116333.5	10	3	200
116334.1	10	3	189
116334.2	10	3	176
116334.3	10	3	123
116334.4	10	3	121
116334.5	10	3	337
116335.1	10	3	72.9
116335.2	10	2	143
116335.3	10	3	129
116335.4	10	2	77.7
116335.5	10	3	131
116336.1	10	3	3281
116336.2	10	3	138
116336.3	10	3	58.3
116336.4	10	3	55
116336.5	10	3	1486
116337.1	10	3	914
116337.2	10	3	250
116337.3	10	3	128
116337.4	10	3	3175
116337.5	10	3	14065
116330.1	24	3	82
116330.2	24	3	56.9
116330.3	24	3	46.8
116330.4	24	3	178
116330.5	24	3	56.3
116331.1	24	3	62.4
116331.2	24	3	89.1
116331.3	24	3	163
116331.4	24	2	39.8
116331.5	24	3	66.9
116332.1	24	3	68.8
116332.2	24	2	101
116332.3	24	3	87.1
116332.4	24	3	56.5
116332.5	24	3	105
116333.1	24	3	162
116333.2	24	3	69.3
116333.3	24	3	117
116333.4	24	3	153
116333.5	24	3	92.1
116334.1	24	3	38.8
116334.2	24	2	66.3
116334.3	24	3	75.6
116334.4	24	3	126
116334.5	24	3	89
116335.1	24	3	66.2
116335.2	24	3	74.8
116335.3	24	3	63.3
116335.4	24	3	59.5
116335.5	24	3	142
116336.1	24	3	75.5
116336.2	24	3	103
116336.3	24	2	64.7
116336.4	24	3	48.1
116336.5	24	3	115
116337.1	24	3	94.6
116337.2	24	3	70.1
116337.3	24	3	66.2
116337.4	24	3	53.5
116337.5	24	3	53.4
