animal	bleed_day	tx	sex	bleed_vol	cohort
116322.1	5	mock	F	80	mock-5
116322.2	5	mock	F	80	mock-5
116322.3	5	mock	F	80	mock-5
116322.4	5	mock	F	67	mock-5
116322.5	5	mock	F	80	mock-5
116323.1	5	mock	F	52	mock-5
116323.2	5	mock	F	80	mock-5
116323.3	5	mock	F	68	mock-5
116323.4	5	mock	F	74	mock-5
116323.5	5	mock	F	64	mock-5
116324.1	5	mock	F	80	mock-5
116324.2	5	mock	F	72	mock-5
116324.3	5	mock	F	53	mock-5
116324.4	5	mock	F	60	mock-5
116324.5	5	mock	F	64	mock-5
116325.1	5	mock	F	80	mock-5
116325.2	5	mock	F	80	mock-5
116325.3	5	mock	F	53	mock-5
116325.4	5	mock	F	40	mock-5
116325.5	5	mock	F	80	mock-5
116326.1	5	mino	F	80	mino-5
116326.2	5	mino	F	80	mino-5
116326.3	5	mino	F	80	mino-5
116326.4	5	mino	F	80	mino-5
116326.5	5	mino	F	80	mino-5
116327.1	5	mino	F	80	mino-5
116327.2	5	mino	F	80	mino-5
116327.3	5	mino	F	80	mino-5
116327.4	5	mino	F	80	mino-5
116327.5	5	mino	F	80	mino-5
116328.1	5	mino	F	80	mino-5
116328.2	5	mino	F	80	mino-5
116328.3	5	mino	F	80	mino-5
116328.4	5	mino	F	80	mino-5
116328.5	5	mino	F	80	mino-5
116329.1	5	mino	F	80	mino-5
116329.2	5	mino	F	80	mino-5
116329.3	5	mino	F	80	mino-5
116329.4	5	mino	F	80	mino-5
116329.5	5	mino	F	80	mino-5
116330.1	10	mock	F	26	mock-10
116330.2	10	mock	F	37	mock-10
116330.3	10	mock	F	39	mock-10
116330.4	10	mock	F	35	mock-10
116330.5	10	mock	F	40	mock-10
116331.1	10	mock	F	51	mock-10
116331.2	10	mock	F	34	mock-10
116331.3	10	mock	F	80	mock-10
116331.4	10	mock	F	51	mock-10
116331.5	10	mock	F	64	mock-10
116332.1	10	mock	F	52	mock-10
116332.2	10	mock	F	41	mock-10
116332.3	10	mock	F	46	mock-10
116332.4	10	mock	F	58	mock-10
116332.5	10	mock	F	48	mock-10
116333.1	10	mock	F	61	mock-10
116333.2	10	mock	F	52	mock-10
116333.3	10	mock	F	59	mock-10
116333.4	10	mock	F	36	mock-10
116333.5	10	mock	F	80	mock-10
116334.1	10	mino	F	80	mino-10
116334.2	10	mino	F	80	mino-10
116334.3	10	mino	F	80	mino-10
116334.4	10	mino	F	80	mino-10
116334.5	10	mino	F	80	mino-10
116335.1	10	mino	F	66	mino-10
116335.2	10	mino	F	65	mino-10
116335.3	10	mino	F	72	mino-10
116335.4	10	mino	F	80	mino-10
116335.5	10	mino	F	80	mino-10
116336.1	10	mino	F	80	mino-10
116336.2	10	mino	F	80	mino-10
116336.3	10	mino	F	80	mino-10
116336.4	10	mino	F	80	mino-10
116336.5	10	mino	F	80	mino-10
116337.1	10	mino	F	80	mino-10
116337.2	10	mino	F	80	mino-10
116337.3	10	mino	F	80	mino-10
116337.4	10	mino	F	80	mino-10
116337.5	10	mino	F	80	mino-10
