animal	day	weight	delta
116322.1	1	19	0
116322.1	2	19.4	0.021052631578947212
116322.1	3	19.3	0.015789473684210575
116322.1	4	19.8	0.04210526315789487
116322.1	5	19.9	0.047368421052631504
116322.2	1	21.5	0
116322.2	2	21.8	0.013953488372093092
116322.2	3	21.5	0
116322.2	4	22	0.023255813953488413
116322.2	5	22	0.023255813953488413
116322.3	1	23.6	0
116322.3	2	23.8	0.008474576271186418
116322.3	3	23.9	0.012711864406779627
116322.3	4	23.9	0.012711864406779627
116322.3	5	23.8	0.008474576271186418
116322.4	1	22.8	0
116322.4	2	22.4	-0.01754385964912286
116322.4	3	22.3	-0.021929824561403466
116322.4	4	22.4	-0.01754385964912286
116322.4	5	22.2	-0.026315789473684292
116322.5	1	21.1	0
116322.5	2	20.6	-0.023696682464455
116322.5	3	20.8	-0.014218009478673022
116322.5	4	21.2	0.004739336492890933
116322.5	5	21.1	0
116323.1	1	23.1	0
116323.1	2	23.1	0
116323.1	3	23.2	0.0043290043290042934
116323.1	4	23.3	0.008658008658008587
116323.1	5	23.3	0.008658008658008587
116323.2	1	19.7	0
116323.2	2	19.8	0.005076142131979822
116323.2	3	20	0.015228426395939021
116323.2	4	20	0.015228426395939021
116323.2	5	20.2	0.025380710659898442
116323.3	1	22.4	0
116323.3	2	22.5	0.0044642857142858094
116323.3	3	22.6	0.008928571428571619
116323.3	4	23.3	0.04017857142857162
116323.3	5	23.2	0.03571428571428581
116323.4	1	20.5	0
116323.4	2	21.7	0.05853658536585371
116323.4	3	20.9	0.019512195121951237
116323.4	4	21.2	0.034146341463414664
116323.4	5	21.6	0.0536585365853659
116323.5	1	21.3	0
116323.5	2	22.1	0.03755868544600949
116323.5	3	22	0.032863849765258246
116323.5	4	21.8	0.023474178403755763
116323.5	5	21.9	0.028169014084507005
116324.1	1	20.3	0
116324.1	2	20.4	0.004926108374384119
116324.1	3	19.8	-0.024630541871921152
116324.1	4	19.6	-0.03448275862068961
116324.1	5	19.9	-0.019704433497537033
116324.2	1	20.8	0
116324.2	2	21.2	0.019230769230769162
116324.2	3	21	0.009615384615384581
116324.2	4	21.4	0.028846153846153744
116324.2	5	21.4	0.028846153846153744
116324.3	1	21.1	0
116324.3	2	21.7	0.02843601895734582
116324.3	3	21.4	0.0142180094786728
116324.3	4	21.1	0
116324.3	5	20.9	-0.009478672985782088
