animal	day	gn_rs	nfl
100480.1	5	2	187
100480.2	5	3	372
100480.3	5	3	240
100481.1	5	3	284
100481.2	5	3	267
100481.3	5	3	331
100482.1	5	3	343
100482.2	5	3	514
100482.3	5	3	127
100482.4	5	3	348
100483.1	5	3	367
100483.2	5	3	544
100483.3	5	3	127
100483.4	5	3	412
98621.1	5	3	201
98621.2	5	3	685
100480.1	0	3	681
100480.2	0	3	709
100480.3	0	3	113
100481.1	0	3	370
100481.2	0	3	183
100481.3	0	3	139
100482.1	0	3	115
100482.2	0	3	81.9
100482.3	0	3	99
100482.4	0	3	74.9
100483.1	0	3	134
100483.2	0	3	58
100483.3	0	3	91.3
100483.4	0	3	91.5
98621.1	0	3	117
98621.2	0	3	103
