plate	inlet	sample_name	animal	date	gn_rs	nfl
42	3	108718.1_2023-01-03_A	108718.1	2023-01-03	3	466
42	5	108718.3_2023-01-03_A	108718.3	2023-01-03	3	335
42	6	108719.1_2023-01-03_A	108719.1	2023-01-03	3	45.5
42	7	108719.2_2023-01-03_A	108719.2	2023-01-03	3	68.7
42	9	108722.1_2023-01-03_A	108722.1	2023-01-03	3	149
42	10	108722.2_2023-01-03_A	108722.2	2023-01-03	3	50.7
42	11	108722.3_2023-01-03_A	108722.3	2023-01-03	3	138
42	12	108723.1_2023-01-03_A	108723.1	2023-01-03	2	1316
42	13	108723.2_2023-01-03_A	108723.2	2023-01-03	3	127
42	14	108723.3_2023-01-03_A	108723.3	2023-01-03	3	214
42	15	108726.1_2023-01-03_A	108726.1	2023-01-03	3	99.6
42	16	108726.3_2023-01-03_A	108726.3	2023-01-03	3	103
42	17	108727.1_2023-01-03_A	108727.1	2023-01-03	3	63.7
42	19	108911.1_2023-01-03_A	108911.1	2023-01-03	3	93
42	21	108911.3_2023-01-03_A	108911.3	2023-01-03	3	67.6
42	22	108912.1_2023-01-03_A	108912.1	2023-01-03	3	50.2
42	23	108912.2_2023-01-03_A	108912.2	2023-01-03	3	65.6
42	24	108912.3_2023-01-03_A	108912.3	2023-01-03	3	109
42	25	108720.1_2023-01-10_B	108720.1	2023-01-10	3	50.2
42	26	108720.2_2023-01-10_B	108720.2	2023-01-10	3	32
42	27	108720.3_2023-01-10_B	108720.3	2023-01-10	3	34.9
42	28	108721.1_2023-01-10_B	108721.1	2023-01-10	3	425
42	29	108721.2_2023-01-10_B	108721.2	2023-01-10	3	323
42	30	108721.3_2023-01-10_B	108721.3	2023-01-10	3	651
42	31	108724.1_2023-01-10_B	108724.1	2023-01-10	3	50.5
42	32	108724.2_2023-01-10_B	108724.2	2023-01-10	3	72.2
42	33	108724.3_2023-01-10_B	108724.3	2023-01-10	3	58.5
42	34	108725.1_2023-01-10_B	108725.1	2023-01-10	3	60.2
42	35	108725.2_2023-01-10_B	108725.2	2023-01-10	3	110
42	36	108725.3_2023-01-10_B	108725.3	2023-01-10	3	48.4
42	37	108728.1_2023-01-10_B	108728.1	2023-01-10	3	158
42	38	108728.2_2023-01-10_B	108728.2	2023-01-10	3	47.1
42	39	108728.3_2023-01-10_B	108728.3	2023-01-10	3	123
42	40	108729.1_2023-01-10_B	108729.1	2023-01-10	3	97.9
42	41	108729.2_2023-01-10_B	108729.2	2023-01-10	3	113
42	42	108729.3_2023-01-10_B	108729.3	2023-01-10	3	45.3
42	43	108913.1_2023-01-10_B	108913.1	2023-01-10	3	32
42	44	108913.2_2023-01-10_B	108913.2	2023-01-10	3	32.3
42	45	108913.3_2023-01-10_B	108913.3	2023-01-10	3	49.8
42	46	108914.1_2023-01-10_B	108914.1	2023-01-10	3	66.3
42	47	108914.2_2023-01-10_B	108914.2	2023-01-10	3	61.7
42	48	108914.3_2023-01-10_B	108914.3	2023-01-10	2	68.2
42	49	108718.1_2023-01-17_A	108718.1	2023-01-17	3	135
42	50	108718.2_2023-01-17_A	108718.2	2023-01-17	3	191
