gene	base_mean	l2fc	lfc_se	stat	pvalue	padj
Arl4d	99.11767443572724	1.5799977664634837	0.15576626439305552	10.14338870242512	3.5458143341573736e-24	2.246273380688696e-20
Sgk1	66.16421672705704	1.9508933207539607	0.23575706365817825	8.275015350473407	1.284390715720905e-16	4.068307592045967e-13
Fkbp5	56.71743343059074	2.4647186502528853	0.3105952139281434	7.935468866635857	2.097015923333486e-15	4.428198624772544e-12
Spns2	63.64255089544131	1.148166946081887	0.153042045790884	7.502297425184301	6.2708882013623935e-14	9.931519188907689e-11
Nr4a1	70.22493844661777	1.8817833803793913	0.2623399240025044	7.173072827304117	7.333281623070229e-13	9.291267816429977e-10
Cdkn1a	22.662102211632668	2.422763020577002	0.34794304519706176	6.963102306599751	3.328599077714498e-12	3.2240291496842174e-9
Junb	72.71658661771902	1.5005871097208143	0.2158020723937632	6.953534287579817	3.56246314882234e-12	3.2240291496842174e-9
Dusp1	32.354177240996925	1.6428869614946922	0.24065809046130632	6.8266433858322335	8.692441256620209e-12	6.883326920086129e-9
Klf9	159.07451983659092	0.7547474974645149	0.11101165623632787	6.798813053088459	1.0548459027402667e-11	7.424943104288433e-9
Ddit4	126.38474078727364	1.377045455943766	0.20943265319106205	6.575123004756615	4.861296345184335e-11	3.0796312346742764e-8
Camkk1	121.71276750759264	0.7588881073228959	0.12018079229657408	6.314554038303916	2.7094163967539744e-10	1.560377533948766e-7
Tsc22d3	107.32915958851558	1.159913561422348	0.1869867445817661	6.203186028061673	5.533136864928434e-10	2.921035169943469e-7
Srsf5	332.0674630520022	0.5177935620811542	0.08633877371592061	5.997230905604983	2.0071057223713453e-9	9.780780577863442e-7
Ip6k2	126.33406965425208	0.6323836244930247	0.10938178719343064	5.781434375127901	7.406637359109117e-9	3.3515034049968757e-6
Jpt1	260.3339525531603	-0.5019036923916235	0.08769101316000018	-5.723547651067217	1.0432228931448129e-8	4.4058780187149264e-6
Mat2a	107.2651080971232	0.643576800943403	0.11323232188698867	5.683684571846223	1.3182331122624824e-8	5.159367619422289e-6
