animal	sex	weeks	nfl
108718.1	M	6	466
108718.1	M	8	135
108718.1	M	10	404
108718.1	M	12	302
108718.1	M	14	304
108718.1	M	16	166
108718.2	M	8	191
108718.2	M	10	384
108718.2	M	12	321
108718.2	M	14	256
108718.2	M	16	79.2
108718.3	M	6	335
108718.3	M	8	266
108718.3	M	10	381
108718.3	M	12	346
108718.3	M	14	339
108718.3	M	16	144
108719.1	M	6	45.5
108719.1	M	8	199
108719.1	M	10	144
108719.1	M	12	406
108719.1	M	14	200
108719.1	M	16	136
108719.2	M	6	68.7
108719.2	M	8	244
108719.2	M	10	217
108719.2	M	12	415
108719.2	M	14	303
108719.2	M	16	208
108719.3	M	8	142
108719.3	M	10	77.2
108719.3	M	12	122
108719.3	M	14	125
108719.3	M	16	68
108720.1	M	7	50.2
108720.1	M	9	75.3
108720.1	M	11	80.7
108720.1	M	13	73.9
108720.1	M	15	132
108720.1	M	17	22.1
108720.2	M	7	32
108720.2	M	9	62.8
108720.2	M	11	122
108720.2	M	13	74.4
108720.2	M	15	71.9
108720.2	M	17	95.2
108720.3	M	7	34.9
108720.3	M	9	67.8
108720.3	M	11	43.8
108720.3	M	13	27.8
108720.3	M	15	57.6
108720.3	M	17	32.6
108721.1	M	7	425
108721.1	M	9	394
108721.2	M	7	323
108721.2	M	9	539
108721.2	M	11	115
108721.2	M	13	345
108721.2	M	15	257
108721.2	M	17	223
108721.3	M	7	651
108721.3	M	11	130
108721.3	M	13	134
108721.3	M	15	210
108721.3	M	17	544
108722.1	M	11	149
108722.1	M	13	83
108722.1	M	15	147
108722.1	M	17	478
108722.1	M	19	279
108722.1	M	21	159
108722.2	M	11	50.7
108722.2	M	13	81.6
108722.2	M	15	102
108722.2	M	17	72.8
108722.2	M	19	92.9
108722.3	M	11	138
108722.3	M	13	73.4
108722.3	M	15	155
108722.3	M	17	377
108722.3	M	19	192
108722.3	M	21	340
108723.1	M	11	1316
108723.1	M	13	67.1
108723.1	M	15	108
108723.1	M	17	156
108723.1	M	19	91
108723.1	M	21	71.8
108723.2	M	11	127
108723.2	M	13	173
108723.2	M	15	154
108723.2	M	17	75.3
108723.2	M	19	128
108723.2	M	21	95.6
108723.3	M	11	214
108723.3	M	13	150
108723.3	M	15	123
108723.3	M	17	84.2
108723.3	M	19	83.7
108723.3	M	21	82.6
