weeks	sex	n	mean	sd	median	q25	q75
6	F	5	77.08	23.54000849617519	67.6	65.6	93
6	M	4	228.8	205.5668423327718	201.85	62.900000000000006	367.75
7	F	6	51.71666666666667	16.452770789951057	55.75	36.675	65.14999999999999
7	M	6	252.68333333333334	257.0695813717886	186.6	38.724999999999994	399.5
8	F	6	67.28333333333333	26.99773447285284	63.75	49.325	70.44999999999999
8	M	6	196.16666666666666	52.677952377314995	195	154.25	232.75
9	F	6	62.416666666666664	26.147995461730268	56.449999999999996	41.45	82.25
9	M	5	227.78	223.91355921426464	75.3	67.8	394
10	F	6	94.96666666666667	26.084989297806253	92	87.225	101.125
10	M	6	267.8666666666667	140.78532120454415	299	162.25	383.25
11	F	9	70.64444444444445	26.669510265053194	77.3	46.5	90.1
11	M	11	226.01818181818183	364.5696115097412	127	97.85	143.5
12	F	12	83.8	37.26990011450869	71.95	52.12499999999999	113.75
12	M	12	192.65	150.69224206369026	116	59.775000000000006	327.25
13	F	12	73.11666666666667	20.713931777839033	75.2	66.825	80.60000000000001
13	M	11	116.65454545454546	86.5597061413261	81.6	73.65	142
14	F	12	89.50833333333334	20.23819334073498	85.75	75.02499999999999	101.67500000000001
14	M	11	178.33636363636364	104.11041516320327	125	87.7	279.5
15	F	12	106.03333333333333	32.060860685246546	102.5	84.30000000000001	118
15	M	11	137.95454545454547	57.67265146733525	132	105	154.5
16	F	12	103.29166666666667	70.86357518414371	84	67	97.35
16	M	12	98.75	54.54823553516649	82.95	63.425	138
17	F	12	93.4	33.26964218186139	82.8	75.5	100.92500000000001
17	M	11	196.38181818181818	185.758923436705	95.2	74.05	300
18	F	6	66.21666666666667	10.567386936545226	68.1	61.87500000000001	69.60000000000001
18	M	5	50	7.8984175630312174	49	45.1	50.6
19	F	6	132.8	61.664284638678815	107.45	94.07499999999999	145.5
19	M	6	144.43333333333334	77.25305603448103	110.45	91.475	176
20	F	5	101.9	43.34183890884188	78.9	68.7	148
20	M	6	130.1	68.3791488686427	115	85.30000000000001	150.25
21	F	6	115.25	47.74280050436924	111	85.375	122.75
21	M	5	149.8	111.57750669377766	95.6	82.6	159
22	F	5	54.1	11.215391210296678	55.2	44.3	64.1
22	M	6	82.9	25.032379031965778	82.25	65.69999999999999	90.32499999999999
