animal	group	drug	day	nfl
1	1	none	6	608
2	1	none	6	542
3	1	none	6	231
4	1	none	6	1415
5	1	none	6	770
6	1	none	6	275
7	1	none	6	274
8	1	none	6	405
18	3	minocycline	6	1252
9	2	none	27	83.8
11	2	none	27	130
12	2	none	27	96.9
13	2	none	27	297
15	2	none	27	239
16	2	none	27	185
29	4	minocycline	27	98.3
30	4	minocycline	27	453
9	2	none	34	323
11	2	none	34	194
12	2	none	34	90.3
13	2	none	34	157
15	2	none	34	137
16	2	none	34	138
29	4	minocycline	34	226
30	4	minocycline	34	206
9	2	none	41	75
11	2	none	41	124
12	2	none	41	45.1
13	2	none	41	130
15	2	none	41	120
16	2	none	41	173
29	4	minocycline	41	75.9
30	4	minocycline	41	89.4
19	3	minocycline	6	730
20	3	minocycline	6	2621
21	3	minocycline	6	1092
22	3	minocycline	6	1187
23	3	minocycline	6	1141
24	3	minocycline	6	1483
1	1	none	16	440
2	1	none	16	195
3	1	none	16	1938
4	1	none	16	394
5	1	none	16	1585
6	1	none	16	250
7	1	none	16	265
8	1	none	16	742
19	3	minocycline	16	580
20	3	minocycline	16	578
21	3	minocycline	16	1529
24	3	minocycline	16	1065
9	2	none	20	137
11	2	none	20	200
12	2	none	20	97.5
13	2	none	20	238
15	2	none	20	362
16	2	none	20	479
29	4	minocycline	20	365
30	4	minocycline	20	768
1	1	none	0	1098
2	1	none	0	299
3	1	none	0	657
4	1	none	0	316
5	1	none	0	104
6	1	none	0	140
7	1	none	0	88
8	1	none	0	123
9	2	none	0	247
10	2	none	0	124
11	2	none	0	177
12	2	none	0	70.5
13	2	none	0	148
14	2	none	0	82.9
15	2	none	0	61.6
16	2	none	0	82.3
17	3	minocycline	0	158
18	3	minocycline	0	288
19	3	minocycline	0	116
21	3	minocycline	0	72.4
22	3	minocycline	0	96.5
23	3	minocycline	0	96
24	3	minocycline	0	110
25	4	minocycline	0	67.7
26	4	minocycline	0	52.4
27	4	minocycline	0	68
28	4	minocycline	0	54.7
29	4	minocycline	0	141
30	4	minocycline	0	177
31	4	minocycline	0	83.3
32	4	minocycline	0	55
1	1	none	13	276
2	1	none	13	200
3	1	none	13	120
4	1	none	13	294
5	1	none	13	166
6	1	none	13	241
7	1	none	13	227
8	1	none	13	182
9	2	none	6	333
10	2	none	6	157
11	2	none	6	611
12	2	none	6	94.6
13	2	none	6	188
14	2	none	6	114
15	2	none	6	334
16	2	none	6	259
25	4	minocycline	6	1992
26	4	minocycline	6	852
27	4	minocycline	6	1211
28	4	minocycline	6	1654
29	4	minocycline	6	690
30	4	minocycline	6	1228
31	4	minocycline	6	844
32	4	minocycline	6	1889
9	2	none	13	102
10	2	none	13	378
11	2	none	13	202
12	2	none	13	112
13	2	none	13	302
14	2	none	13	118
15	2	none	13	295
16	2	none	13	236
18	3	minocycline	13	1893
19	3	minocycline	13	2473
20	3	minocycline	13	674
21	3	minocycline	13	1275
22	3	minocycline	13	1434
23	3	minocycline	13	1269
24	3	minocycline	13	735
25	4	minocycline	13	633
26	4	minocycline	13	479
27	4	minocycline	13	2351
28	4	minocycline	13	701
29	4	minocycline	13	1069
30	4	minocycline	13	1601
32	4	minocycline	13	674
