animal	group	drug	dose_mgkg	nfl
1	1	saline	0	379
2	1	saline	0	253
3	1	saline	0	315
4	1	saline	0	157
5	1	saline	0	254
6	1	saline	0	167
7	1	saline	0	230
8	1	saline	0	79.1
9	1	saline	0	202
10	1	saline	0	294
11	1	saline	0	212
12	1	saline	0	108
13	2	minocycline	4	296
14	2	minocycline	4	525
15	2	minocycline	4	214
16	2	minocycline	4	283
17	2	minocycline	4	191
18	2	minocycline	4	201
19	3	minocycline	9	171
20	3	minocycline	9	175
21	3	minocycline	9	125
22	3	minocycline	9	337
23	3	minocycline	9	135
24	3	minocycline	9	265
25	4	minocycline	21	201
26	4	minocycline	21	743
27	4	minocycline	21	383
28	4	minocycline	21	330
29	4	minocycline	21	299
30	4	minocycline	21	313
31	5	minocycline	50	309
32	5	minocycline	50	175
33	5	minocycline	50	251
34	5	minocycline	50	352
35	5	minocycline	50	453
36	5	minocycline	50	280
37	6	isotretinoin	1	206
38	6	isotretinoin	1	251
39	6	isotretinoin	1	108
40	6	isotretinoin	1	243
41	6	isotretinoin	1	99.1
42	6	isotretinoin	1	79.3
43	7	isotretinoin	3	156
44	7	isotretinoin	3	260
45	7	isotretinoin	3	238
46	7	isotretinoin	3	210
47	7	isotretinoin	3	242
48	7	isotretinoin	3	148
49	8	isotretinoin	7	136
50	8	isotretinoin	7	119
51	8	isotretinoin	7	118
52	8	isotretinoin	7	309
53	8	isotretinoin	7	114
54	8	isotretinoin	7	104
55	9	isotretinoin	20	103
56	9	isotretinoin	20	162
57	9	isotretinoin	20	96.2
58	9	isotretinoin	20	199
59	9	isotretinoin	20	102
60	9	isotretinoin	20	173
