animal	sex	drug	day	nfl
100480.3	M	none	0	113
100481.1	M	none	0	370
100481.2	M	none	0	183
100482.3	F	none	0	99
100482.4	F	none	0	74.9
100483.1	F	none	0	134
100483.2	F	none	0	58
98621.1	M	none	0	117
100480.1	M	mino	0	681
100480.2	M	mino	0	709
100481.3	M	mino	0	139
100482.1	F	mino	0	115
100482.2	F	mino	0	81.9
100483.3	F	mino	0	91.3
100483.4	F	mino	0	91.5
98621.2	M	mino	0	103
100480.3	M	none	5	240
100481.1	M	none	5	284
100481.2	M	none	5	267
100482.3	F	none	5	127
100482.4	F	none	5	348
100483.1	F	none	5	367
100483.2	F	none	5	544
98621.1	M	none	5	201
100480.1	M	mino	5	187
100480.2	M	mino	5	372
100481.3	M	mino	5	331
100482.1	F	mino	5	343
100482.2	F	mino	5	514
100483.3	F	mino	5	127
100483.4	F	mino	5	412
98621.2	M	mino	5	685
