animal	sex	day	drug	nfl
116322.1	F	5	mock	67
116322.2	F	5	mock	58.8
116322.3	F	5	mock	90.4
116322.4	F	5	mock	109
116322.5	F	5	mock	123
116323.1	F	5	mock	58.8
116323.2	F	5	mock	81.2
116323.3	F	5	mock	115
116323.4	F	5	mock	76.5
116323.5	F	5	mock	81
116324.1	F	5	mock	95.6
116324.2	F	5	mock	89.7
116324.3	F	5	mock	80
116324.4	F	5	mock	118
116324.5	F	5	mock	115
116325.1	F	5	mock	137
116325.2	F	5	mock	77.9
116325.3	F	5	mock	178
116325.4	F	5	mock	108
116325.5	F	5	mock	179
116326.1	F	5	mino	210
116326.2	F	5	mino	707
116326.3	F	5	mino	194
116326.4	F	5	mino	197
116326.5	F	5	mino	337
116327.1	F	5	mino	181
116327.2	F	5	mino	240
116327.3	F	5	mino	307
116327.4	F	5	mino	502
116327.5	F	5	mino	517
116328.1	F	5	mino	266
116328.2	F	5	mino	186
116328.3	F	5	mino	231
116328.4	F	5	mino	335
116328.5	F	5	mino	243
116329.1	F	5	mino	216
116329.2	F	5	mino	341
116329.3	F	5	mino	192
116329.4	F	5	mino	134
116330.1	F	10	mock	105
116330.1	F	24	mock	82
116330.2	F	10	mock	460
116330.2	F	24	mock	56.9
116330.3	F	10	mock	94.3
116330.3	F	24	mock	46.8
116330.4	F	10	mock	161
116330.4	F	24	mock	178
116330.5	F	10	mock	71.7
116330.5	F	24	mock	56.3
116331.1	F	10	mock	310
116331.1	F	24	mock	62.4
116331.2	F	10	mock	88.8
116331.2	F	24	mock	89.1
116331.3	F	10	mock	195
116331.3	F	24	mock	163
116331.4	F	10	mock	126
116331.4	F	24	mock	39.8
116331.5	F	10	mock	146
116331.5	F	24	mock	66.9
116332.1	F	10	mock	175
116332.1	F	24	mock	68.8
116332.2	F	10	mock	137
116332.2	F	24	mock	101
116332.3	F	10	mock	88.5
116332.3	F	24	mock	87.1
116332.4	F	10	mock	83.7
116332.4	F	24	mock	56.5
116332.5	F	10	mock	85.3
116332.5	F	24	mock	105
116333.1	F	10	mock	106
116333.1	F	24	mock	162
116333.2	F	10	mock	156
116333.2	F	24	mock	69.3
116333.3	F	10	mock	64.7
116333.3	F	24	mock	117
116333.4	F	10	mock	75.1
116333.4	F	24	mock	153
116333.5	F	10	mock	200
116333.5	F	24	mock	92.1
116334.1	F	10	mino	189
116334.1	F	24	mino	38.8
116334.2	F	10	mino	176
116334.2	F	24	mino	66.3
116334.3	F	10	mino	123
116334.3	F	24	mino	75.6
116334.4	F	10	mino	121
116334.4	F	24	mino	126
116334.5	F	10	mino	337
116334.5	F	24	mino	89
116335.1	F	10	mino	72.9
116335.1	F	24	mino	66.2
116335.2	F	10	mino	143
116335.2	F	24	mino	74.8
116335.3	F	10	mino	129
116335.3	F	24	mino	63.3
116335.4	F	10	mino	77.7
116335.4	F	24	mino	59.5
116335.5	F	10	mino	131
116335.5	F	24	mino	142
116336.1	F	10	mino	3281
116336.1	F	24	mino	75.5
116336.2	F	10	mino	138
116336.2	F	24	mino	103
116336.3	F	10	mino	58.3
116336.3	F	24	mino	64.7
116336.4	F	10	mino	55
116336.4	F	24	mino	48.1
116336.5	F	10	mino	1486
116336.5	F	24	mino	115
116337.1	F	10	mino	914
116337.1	F	24	mino	94.6
116337.2	F	10	mino	250
116337.2	F	24	mino	70.1
116337.3	F	10	mino	128
116337.3	F	24	mino	66.2
116337.4	F	10	mino	3175
116337.4	F	24	mino	53.5
116337.5	F	10	mino	14065
116337.5	F	24	mino	53.4
