tx	day	n	mean_change	l95	u95
mino	1	40	0	0	0
mino	2	40	-0.028810195813629653	-0.036713463341552156	-0.02090692828570715
mino	3	39	-0.02507628252816455	-0.035814447733154786	-0.014338117323174311
mino	4	39	-0.011899709377763848	-0.022367066045571843	-0.0014323527099558524
mino	5	39	-0.005289651026507934	-0.01619396432341727	0.0056146622704014
mino	6	19	-2.7962579362233694e-4	-0.016201673920421388	0.015642422333176715
mino	7	20	-0.02358491888081943	-0.04037233394570118	-0.006797503815937678
mino	10	20	-0.021204541898638806	-0.04399648436581489	0.0015874005685372755
mock	1	40	0	0	0
mock	2	40	0.01706689803707868	0.010787710853790124	0.023346085220367237
mock	3	40	0.01612715094234821	0.009144158493746652	0.023110143390949765
mock	4	40	0.023219934913917654	0.01513217647980497	0.03130769334803034
mock	5	40	0.024473901012129252	0.01672674647308952	0.032221055551168984
mock	10	20	-0.005813833037473125	-0.02181687291571241	0.010189206840766157
